scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time,model,error,time,tar_group.x,scenario_days,meanlog,sdlog,mean,sd,tar_group.y,distribution_stat,r,growth_rate
fast decay,long,200,Exponential,120,12,"",4000,1,0,0,4,3,0.00075,2.4,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,121,13,"",,,,,,,,,Dynamical and censoring adjusted,Fitting failed. Unable to print.,,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,122,14,"",,,,,,,,,Dynamical and censoring adjusted,Fitting failed. Unable to print.,,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,123,15,"",4000,1,0,0,3,1652,0.413,2.5,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,124,16,"",4000,1,0,0,5,1,0.00025,3.1,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,125,17,"",4000,1,0,0,4,140,0.035,2.8,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,126,18,"",,,,,,,,,Dynamical and censoring adjusted,Fitting failed. Unable to print.,,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,127,19,"",4000,1,0,0,4,1,0.00025,2.5,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,long,200,Exponential,128,20,"",4000,1,0,0,4,3,0.00075,2.4,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.2,Fast decay (-0.2)
fast decay,medium,200,Exponential,129,1,"",4000,1,0,0,4,5,0.00125,2.1,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.2,Fast decay (-0.2)
fast decay,medium,200,Exponential,130,2,"",4000,1,0,0,3,1676,0.419,2.4,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.2,Fast decay (-0.2)
fast decay,medium,200,Exponential,131,3,"",4000,1,0,0,3,1820,0.455,2.3,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.2,Fast decay (-0.2)
fast decay,medium,200,Exponential,132,4,"",4000,1,0,0,3,1689,0.42225,2.6,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.2,Fast decay (-0.2)
fast decay,medium,200,Exponential,133,5,"",4000,1,0,0,3,1882,0.4705,2.5,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.2,Fast decay (-0.2)
fast decay,medium,200,Exponential,134,6,"",4000,1,0,0,3,1793,0.44825,2.7,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.2,Fast decay (-0.2)
fast decay,medium,200,Exponential,135,7,"",4000,1,0,0,3,1661,0.41525,2.5,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.2,Fast decay (-0.2)
fast decay,medium,200,Exponential,136,8,"",4000,1,0,0,4,1,0.00025,2.2,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.2,Fast decay (-0.2)
