id,scenario,distribution,sample_size,data_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
53,stable,medium,100,exponential,sd,3.8,3.7,2.9,3,3.3,3.5,3.9,4.2,4.7,5
54,stable,short,100,exponential,meanlog,1.1,1.1,1,1,1.1,1.1,1.1,1.2,1.2,1.2
54,stable,short,100,exponential,sdlog,0.47,0.47,0.41,0.42,0.44,0.45,0.48,0.5,0.53,0.54
54,stable,short,100,exponential,mean,3.4,3.4,3.1,3.2,3.3,3.3,3.5,3.6,3.7,3.8
54,stable,short,100,exponential,sd,1.7,1.7,1.4,1.4,1.5,1.6,1.8,1.8,2,2.1
55,fast decay,long,1000,exponential,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.8
55,fast decay,long,1000,exponential,sdlog,0.92,0.92,0.88,0.89,0.91,0.91,0.93,0.94,0.96,0.96
55,fast decay,long,1000,exponential,mean,8.4,8.3,7.8,7.9,8.1,8.2,8.5,8.6,8.9,9
55,fast decay,long,1000,exponential,sd,9.7,9.7,8.6,8.8,9.2,9.4,9.9,10,11,11
56,fast decay,medium,1000,exponential,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6
56,fast decay,medium,1000,exponential,sdlog,0.61,0.61,0.59,0.59,0.6,0.61,0.62,0.62,0.63,0.64
56,fast decay,medium,1000,exponential,mean,5.9,5.9,5.6,5.7,5.8,5.8,5.9,6,6.1,6.1
56,fast decay,medium,1000,exponential,sd,4,4,3.7,3.7,3.8,3.9,4,4.1,4.2,4.3
57,fast decay,short,1000,exponential,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
57,fast decay,short,1000,exponential,sdlog,0.44,0.44,0.42,0.42,0.43,0.43,0.44,0.45,0.46,0.46
57,fast decay,short,1000,exponential,mean,3.5,3.5,3.4,3.4,3.5,3.5,3.5,3.6,3.6,3.6
57,fast decay,short,1000,exponential,sd,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7
58,fast growth,long,1000,exponential,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3
58,fast growth,long,1000,exponential,sdlog,0.86,0.86,0.83,0.83,0.85,0.85,0.87,0.88,0.9,0.9
58,fast growth,long,1000,exponential,mean,4.9,4.9,4.6,4.6,4.7,4.8,4.9,5,5.1,5.2
58,fast growth,long,1000,exponential,sd,5.1,5.1,4.6,4.7,4.9,5,5.2,5.4,5.6,5.7
59,fast growth,medium,1000,exponential,meanlog,1.3,1.3,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3
59,fast growth,medium,1000,exponential,sdlog,0.61,0.61,0.59,0.59,0.6,0.61,0.62,0.63,0.64,0.64
59,fast growth,medium,1000,exponential,mean,4.2,4.2,4,4.1,4.1,4.2,4.3,4.3,4.4,4.4
