scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,min_ess_bulk,min_ess_tail,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
growth,long,200,exponential,244,16,,4000,1,1059.79,1192,0,0,6,457,0.11425,13.3
growth,long,200,exponential,245,17,,3000,1,585.21,522,0,0,7,2,0.000666666666666667,13.7
growth,long,200,exponential,246,18,,4000,1,982.73,755,0,0,7,12,0.003,13.3
growth,long,200,exponential,247,19,,3000,1,896.4,682,0,0,6,505,0.168333333333333,11.9
growth,long,200,exponential,248,20,,4000,1,1134.97,772,0,0,7,17,0.00425,15.2
growth,medium,200,exponential,249,1,,4000,1,1268.28,958,0,0,7,2,5e-04,13.5
growth,medium,200,exponential,250,2,,4000,1,1139.88,707,0,0,6,146,0.0365,10.1
growth,medium,200,exponential,251,3,,4000,1,1226.84,1287,0,0,6,820,0.205,14.1
growth,medium,200,exponential,252,4,,4000,1,1166.15,1252,0,0,7,7,0.00175,13.8
growth,medium,200,exponential,253,5,,4000,1,1213.59,769,0,0,6,487,0.12175,13.2
growth,medium,200,exponential,254,6,,4000,1,1207.7,1192,0,0,7,4,0.001,13.6
growth,medium,200,exponential,255,7,,4000,1,1155.88,710,0,0,7,1,0.00025,12.6
growth,medium,200,exponential,256,8,,4000,1,1172.38,1171,0,0,7,13,0.00325,14.6
growth,medium,200,exponential,257,9,,4000,1,1024.15,1038,0,0,6,352,0.088,12.7
growth,medium,200,exponential,258,10,,4000,1,1224.3,773,0,0,6,550,0.1375,12.3
growth,medium,200,exponential,259,11,,4000,1,1141.94,829,0,0,7,6,0.0015,13.7
growth,medium,200,exponential,260,12,,4000,1,1158.4,955,0,0,7,17,0.00425,14.2
growth,medium,200,exponential,261,13,,4000,1,1017.8,850,0,0,7,4,0.001,13.8
growth,medium,200,exponential,262,14,,4000,1,1197.42,852,0,0,7,2,5e-04,13.7
growth,medium,200,exponential,263,15,,4000,1,1328.31,973,0,0,7,7,0.00175,13.7
growth,medium,200,exponential,264,16,,4000,1,1206.96,1180,0,0,7,3,0.00075,13.7
growth,medium,200,exponential,265,17,,4000,1,972.96,1181,0,0,7,1,0.00025,13.3
growth,medium,200,exponential,266,18,,4000,1,1041.51,1273,0,0,6,673,0.16825,13.6
growth,medium,200,exponential,267,19,,4000,1,850.6,596,0,0,6,368,0.092,11.4
growth,medium,200,exponential,268,20,,4000,1,938.76,786,0,0,7,1,0.00025,11.5
growth,short,200,exponential,269,1,,4000,1,1182.1,777,0,0,7,12,0.003,14.2
growth,short,200,exponential,270,2,,4000,1,1220.18,859,0,0,7,4,0.001,13.9
growth,short,200,exponential,271,3,,4000,1,1260.07,949,0,0,7,5,0.00125,14.7
growth,short,200,exponential,272,4,,3000,1,794.51,723,0,0,7,10,0.00333333333333333,14.3
growth,short,200,exponential,273,5,,4000,1,950.1,517,0,0,6,686,0.1715,12.5
growth,short,200,exponential,274,6,,4000,1,1219.85,1018,0,0,7,8,0.002,14.5
growth,short,200,exponential,275,7,,4000,1,1294.1,1079,0,0,7,1,0.00025,13.7
growth,short,200,exponential,276,8,,4000,1,1195.23,1368,0,0,7,46,0.0115,16.2
growth,short,200,exponential,277,9,,4000,1,937.15,1125,0,0,7,11,0.00275,14.1
growth,short,200,exponential,278,10,,4000,1,1027.67,713,0,0,7,3,0.00075,13.9
growth,short,200,exponential,279,11,,3000,1,531.54,705,0,0,7,1,0.000333333333333333,13.9
growth,short,200,exponential,280,12,,4000,1,1151.51,987,0,0,7,3,0.00075,14.5
growth,short,200,exponential,281,13,,4000,1,1175.17,1353,0,0,7,6,0.0015,14.8
growth,short,200,exponential,282,14,,4000,1,1109.49,847,0,0,7,96,0.024,17.5
growth,short,200,exponential,283,15,,4000,1,850.53,1050,0,0,7,8,0.002,13.8
growth,short,200,exponential,284,16,,4000,1,1161.04,866,0,0,7,6,0.0015,13.8
growth,short,200,exponential,285,17,,4000,1,1107.31,859,0,0,7,1,0.00025,13.2
growth,short,200,exponential,286,18,,4000,1,1112.21,810,0,0,6,782,0.1955,13.9
