scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
stable,medium,200,exponential,314,6,,4000,1,0,0,3,1591,0.39775,1.1
stable,medium,200,exponential,315,7,,4000,1,0,0,3,1548,0.387,1
stable,medium,200,exponential,316,8,,4000,1,0,0,3,1492,0.373,1
stable,medium,200,exponential,317,9,,4000,1,0,0,3,1725,0.43125,1.1
stable,medium,200,exponential,318,10,,4000,1,0,0,3,1577,0.39425,1.1
stable,medium,200,exponential,319,11,,4000,1,0,0,3,1536,0.384,1.1
stable,medium,200,exponential,320,12,,4000,1,0,0,3,1739,0.43475,1.1
stable,medium,200,exponential,321,13,,4000,1,0,0,3,1662,0.4155,1.1
stable,medium,200,exponential,322,14,,4000,1,0,0,3,1510,0.3775,1
stable,medium,200,exponential,323,15,,4000,1,0,0,3,1598,0.3995,1.1
stable,medium,200,exponential,324,16,,4000,1,0,0,3,1500,0.375,1.1
stable,medium,200,exponential,325,17,,4000,1,0,0,3,1758,0.4395,1.1
stable,medium,200,exponential,326,18,,4000,1,0,0,3,1443,0.36075,1
stable,medium,200,exponential,327,19,,4000,1,0,0,3,1435,0.35875,1.1
stable,medium,200,exponential,328,20,,4000,1,0,0,3,1490,0.3725,1.1
stable,short,200,exponential,329,1,,4000,1,0,0,3,1537,0.38425,1.1
stable,short,200,exponential,330,2,,4000,1,0,0,3,1610,0.4025,1.1
stable,short,200,exponential,331,3,,4000,1,0,0,3,1666,0.4165,1.1
stable,short,200,exponential,332,4,,4000,1,0,0,3,1615,0.40375,1
stable,short,200,exponential,333,5,,4000,1,0,0,3,1543,0.38575,1.1
stable,short,200,exponential,334,6,,4000,1,0,0,3,1447,0.36175,1
stable,short,200,exponential,335,7,,4000,1,0,0,3,1506,0.3765,1.1
stable,short,200,exponential,336,8,,4000,1,0,0,3,1608,0.402,1
stable,short,200,exponential,337,9,,4000,1,0,0,3,1525,0.38125,1.1
stable,short,200,exponential,338,10,,4000,1,0,0,3,1449,0.36225,1.1
